,pol_number,gender,credit_score,area,traffic_index,veh_age,veh_body,veh_value,numclaims,claimcst0,age_at_eff_dt
55,82906325,M,636.0,F,124.0,2,STNWG,4.411,0,0.0,36
56,68622769,F,608.0,B,105.0,1,STNWG,5.203,0,0.0,41
57,95754006,F,784.0,B,124.8,2,HBACK,1.738,0,0.0,80
58,43159836,F,710.0,E,34.5,3,STNWG,3.124,0,0.0,51
59,77119243,F,540.0,A,50.1,1,STNWG,3.96,0,0.0,47
60,92700731,M,768.0,A,94.8,3,UTE,2.563,0,0.0,67
61,96849807,F,631.0,C,142.5,2,HBACK,1.551,0,0.0,56
62,22134136,M,651.0,E,31.5,3,SEDAN,1.353,0,0.0,47
63,67280906,F,788.0,A,92.1,3,SEDAN,1.54,0,0.0,57
64,80202270,M,615.0,C,133.5,2,TRUCK,3.894,0,0.0,44
65,19719087,M,790.0,B,130.0,3,UTE,1.595,0,0.0,59
66,92014655,F,357.0,D,124.0,3,COUPE,1.375,4,47761.39762,45
67,33553968,F,529.0,A,48.9,2,SEDAN,1.903,0,0.0,34
68,51901083,M,823.0,A,75.2,4,SEDAN,0.506,0,0.0,53
69,31747924,F,841.0,A,64.7,3,HBACK,0.935,0,0.0,58
70,29941097,M,606.0,F,102.0,2,UTE,3.85,0,0.0,49
71,56550673,F,798.0,B,112.0,3,SEDAN,1.452,0,0.0,23
72,46256093,F,595.0,C,145.5,3,HBACK,0.935,0,0.0,32
73,90695304,F,452.0,A,79.5,3,HBACK,1.364,1,1247.437062,67
74,59183590,M,842.0,C,108.0,2,STNWG,4.895,1,469.8986741,65
75,54760169,M,507.0,E,24.0,4,UTE,1.309,0,0.0,51
76,12767388,M,624.0,D,137.9,3,UTE,1.496,1,925.6617913,46
77,77151075,F,364.0,C,150.0,4,SEDAN,0.484,0,0.0,73
78,98372607,M,524.0,C,147.0,4,UTE,1.584,1,346.4261184,40
79,45901171,F,607.0,C,126.0,2,STNWG,4.059,0,0.0,41
80,11773150,F,660.0,C,132.0,4,UTE,1.1,0,0.0,41
81,38173104,M,657.0,A,112.8,4,HBACK,0.484,0,0.0,67
82,34384553,F,743.0,E,30.0,4,SEDAN,0.792,0,0.0,46
83,10923965,F,849.0,B,92.4,3,HBACK,1.023,0,0.0,55
85,55422986,M,830.0,E,52.5,3,SEDAN,1.023,0,0.0,79
86,93086885,F,756.0,C,136.5,3,SEDAN,1.705,0,0.0,89
87,34246446,M,842.0,C,136.5,3,HBACK,1.551,0,0.0,76
88,30236398,M,692.0,E,64.5,2,UTE,2.871,0,0.0,46
89,49943176,F,758.0,D,88.5,3,SEDAN,2.079,0,0.0,63
91,93514442,F,832.0,D,116.7,3,UTE,1.078,0,0.0,72
92,22336436,F,686.0,D,89.1,4,STNWG,0.671,0,0.0,55
93,37550871,F,523.0,D,75.0,3,STNWG,2.376,3,5720.096883,45
94,79866916,M,757.0,B,116.9,2,HBACK,1.463,0,0.0,66
95,76993570,F,645.0,D,73.7,1,STNWG,6.985,0,0.0,42
96,99366706,M,757.0,A,115.0,3,PANVN,1.353,0,0.0,51
99,84708415,M,427.0,A,53.1,2,HBACK,1.408,0,0.0,54
100,34681526,F,714.0,A,51.7,4,STNWG,1.463,0,0.0,29
101,75363332,F,818.0,C,129.0,2,HBACK,1.287,0,0.0,60
102,59579126,M,683.0,A,77.6,4,HBACK,0.814,1,417.8520203,43
103,29910919,F,806.0,C,121.5,2,STNWG,3.685,0,0.0,37
104,33036372,M,721.0,C,102.0,1,COUPE,5.39,0,0.0,56
105,67658722,F,719.0,A,107.2,3,HBACK,1.804,0,0.0,66
106,61642442,F,774.0,C,132.0,1,SEDAN,2.079,0,0.0,55
107,53182017,F,634.0,C,109.5,2,STNWG,3.806,0,0.0,42
108,31927880,M,614.0,C,97.5,3,SEDAN,1.254,0,0.0,74
109,75216265,F,679.0,C,129.0,2,SEDAN,1.881,0,0.0,70
110,48466985,F,822.0,C,120.0,4,HBACK,0.748,0,0.0,53
111,84461391,F,627.0,A,57.6,2,HBACK,2.189,0,0.0,33
112,38403400,F,384.0,C,120.0,2,HBACK,1.727,0,0.0,51
113,72339603,F,539.0,A,107.9,2,SEDAN,1.551,0,0.0,45
114,92538657,F,689.0,D,51.7,3,SEDAN,1.287,1,1305.07168,29
115,44682329,M,466.0,C,150.0,2,SEDAN,2.398,1,2368.61193,66
116,74727961,F,671.0,E,33.0,1,STNWG,4.8389,0,0.0,41
117,97379567,F,570.0,A,61.6,2,HBACK,2.299,0,0.0,26
118,76968517,M,820.0,A,91.8,3,SEDAN,0.913,0,0.0,38
119,22787443,F,664.0,D,116.4,1,STNWG,3.014,0,0.0,60
120,72597751,F,646.0,A,79.3,2,SEDAN,1.573,1,474.7070337,48
121,79502907,F,807.0,E,57.0,3,STNWG,2.926,0,0.0,42
122,11386704,M,529.0,C,144.0,4,STNWG,1.122,1,224.4048806,39
123,56604220,M,740.0,B,143.6,4,SEDAN,1.155,0,0.0,66
124,72658769,F,814.0,C,133.5,1,HBACK,1.606,0,0.0,70
125,84240227,M,710.0,B,136.1,4,SEDAN,0.902,0,0.0,42
126,85612431,F,816.0,C,108.0,4,SEDAN,0.484,0,0.0,68
127,38224871,M,609.0,A,114.2,2,HBACK,1.936,0,0.0,59
128,59121522,M,627.0,A,82.0,4,SEDAN,0.506,0,0.0,51
129,70686485,M,832.0,C,138.0,4,HDTOP,1.584,1,428.9371154,65
130,57731567,F,585.0,C,118.5,2,SEDAN,1.958,1,1158.769606,57
132,49678778,M,654.0,E,25.5,2,HDTOP,3.454,0,0.0,38
133,85313374,M,663.0,B,154.6,1,STNWG,4.873,0,0.0,48
134,31088717,M,728.0,E,54.0,4,SEDAN,1.067,0,0.0,41
135,60857216,F,826.0,C,150.0,4,HBACK,0.407,1,175.9998316,69
136,40977453,F,818.0,C,126.0,4,HBACK,1.089,0,0.0,70
137,84134902,M,545.0,F,104.0,3,STNWG,3.454,0,0.0,32
138,62838524,F,680.0,C,139.5,4,STNWG,1.21,0,0.0,50
139,18836707,F,335.0,C,96.0,1,STNWG,3.586,0,0.0,24
142,19708885,F,723.0,B,121.5,3,SEDAN,1.287,0,0.0,31
143,86953110,F,618.0,A,123.2,4,SEDAN,1.705,0,0.0,34
144,40960846,F,715.0,C,148.5,2,HDTOP,2.266,0,0.0,66
145,19201048,M,739.0,A,22.3,3,STNWG,3.74,0,0.0,45
146,46672558,M,454.0,C,109.5,2,SEDAN,1.771,0,0.0,69
147,65109564,M,402.0,C,106.5,3,HBACK,1.089,1,1101.884269,40
148,95781291,F,553.0,C,141.0,3,SEDAN,1.254,0,0.0,35
149,30697235,F,807.0,C,148.5,4,STNWG,0.715,0,0.0,67
150,52601791,F,735.0,C,100.5,1,HBACK,1.507,0,0.0,57
151,33141704,F,650.0,D,114.0,2,SEDAN,1.804,0,0.0,89
152,65073373,M,649.0,A,56.2,3,SEDAN,1.837,0,0.0,33
153,55523124,M,667.0,D,148.8,1,STNWG,5.3339,1,1068.376762,55
154,95744481,F,695.0,D,56.7,1,HBACK,2.541,0,0.0,58
155,75741491,M,739.0,B,123.5,3,SEDAN,1.661,0,0.0,47
156,26439963,M,608.0,A,89.3,2,SEDAN,2.178,1,974.3692226,40
157,32118650,F,824.0,C,133.5,4,HBACK,0.528,0,0.0,66
158,22310312,M,742.0,C,147.0,3,STNWG,1.232,0,0.0,61
159,37759997,F,647.0,E,45.0,4,SEDAN,0.902,0,0.0,22
160,59070678,M,696.0,B,135.9,2,HBACK,1.397,0,0.0,60
161,91029587,F,602.0,B,130.7,2,HBACK,1.98,0,0.0,34
162,99852710,M,598.0,C,136.5,3,HDTOP,2.09,1,574.9602768,33
163,80469535,F,835.0,B,123.6,3,HBACK,0.99,0,0.0,53
164,36690238,F,790.0,C,147.0,4,STNWG,1.375,0,0.0,50
165,64874754,M,317.0,A,43.7,1,SEDAN,2.992,0,0.0,39
166,63387647,M,643.0,C,133.5,2,STNWG,3.894,2,1515.967259,69
167,13738205,F,630.0,D,98.6,4,STNWG,1.958,0,0.0,52
169,34011703,M,693.0,E,10.5,4,PANVN,0.55,0,0.0,41
170,19193399,M,408.0,D,60.6,4,UTE,0.704,1,8792.862319,87
171,66943353,M,561.0,B,107.6,4,SEDAN,0.924,0,0.0,37
172,75290467,M,825.0,A,99.4,2,STNWG,5.962,0,0.0,66
173,13622088,M,826.0,A,90.7,4,COUPE,1.089,0,0.0,53
174,39462458,F,458.0,C,145.5,3,HBACK,1.111,0,0.0,38
175,25698684,F,692.0,B,153.8,2,HBACK,1.903,0,0.0,24
176,67367933,F,693.0,C,111.0,3,HBACK,0.979,1,234.9816427,67
177,80102865,M,675.0,C,148.5,1,HBACK,3.641,0,0.0,51
178,47775546,F,632.0,C,126.0,1,STNWG,3.63,0,0.0,45
180,12978442,F,687.0,C,106.5,4,HBACK,0.308,0,0.0,24
181,15198306,F,811.0,A,34.8,4,HBACK,0.517,0,0.0,57
183,92796606,F,382.0,D,111.5,3,SEDAN,1.133,0,0.0,83
184,62018901,F,747.0,E,51.0,4,STNWG,1.463,0,0.0,48
185,71088142,M,802.0,B,113.2,2,SEDAN,2.024,2,2048.240393,74
186,50011194,F,704.0,C,130.5,4,STNWG,1.276,0,0.0,60
187,83851701,F,696.0,C,102.0,3,MIBUS,2.431,0,0.0,44
188,48332108,F,331.0,C,133.5,1,PANVN,3.553,1,12094.58844,30
190,42633477,M,674.0,C,150.0,4,UTE,1.87,0,0.0,43
192,85380874,M,677.0,A,75.9,1,HBACK,1.507,0,0.0,51
193,43374672,F,515.0,A,55.3,4,SEDAN,0.484,0,0.0,67
194,35118980,M,569.0,A,47.4,1,COUPE,12.1,0,0.0,44
195,28443360,F,679.0,A,58.1,4,HBACK,0.539,0,0.0,38
196,38794950,M,711.0,A,65.7,4,SEDAN,0.407,0,0.0,55
197,40044367,F,582.0,A,57.5,2,SEDAN,1.551,0,0.0,55
198,24942090,F,541.0,D,95.6,3,HBACK,0.88,0,0.0,35
199,17561418,F,606.0,C,144.0,4,HBACK,0.836,3,491.304166,21
200,79018645,M,664.0,C,123.0,1,HBACK,1.573,0,0.0,53
201,76901030,F,775.0,C,132.0,2,HBACK,1.727,0,0.0,51
202,72132801,F,786.0,C,112.5,3,HBACK,1.045,0,0.0,41
203,84025072,M,652.0,C,142.5,2,SEDAN,1.804,0,0.0,45
204,17466420,M,822.0,B,134.7,4,STNWG,1.837,1,544.4460017,70
205,28181396,F,661.0,B,95.7,3,HBACK,1.056,0,0.0,46
206,73619228,F,485.0,A,73.0,1,HBACK,1.54,0,0.0,31
207,68885414,M,769.0,A,96.7,1,HBACK,1.5389,0,0.0,67
208,47223683,M,611.0,C,82.5,2,HBACK,1.078,0,0.0,36
210,24163152,M,802.0,D,82.3,3,HBACK,0.946,0,0.0,59
211,52681264,F,569.0,C,144.0,3,HBACK,1.045,0,0.0,40
212,14536684,M,827.0,A,81.6,1,SEDAN,3.025,0,0.0,23
214,36125453,F,803.0,C,145.5,4,STNWG,1.254,0,0.0,64
216,96517343,M,810.0,C,144.0,3,STNWG,2.046,0,0.0,51
217,69943865,M,423.0,A,94.3,1,SEDAN,4.202,1,22778.03903,54
218,48125286,M,842.0,F,120.0,1,STNWG,5.126,0,0.0,75
219,43337137,M,660.0,D,58.8,4,UTE,1.441,0,0.0,43
221,68630125,F,844.0,E,52.5,2,SEDAN,1.76,0,0.0,62
222,69052984,F,550.0,B,93.6,1,HBACK,1.4839,0,0.0,26
223,46905394,M,846.0,C,127.5,3,SEDAN,1.892,0,0.0,60
224,77908851,M,427.0,B,93.6,2,HBACK,1.331,5,15379.34871,30
225,53194645,F,597.0,F,146.0,3,HBACK,1.342,0,0.0,25
226,32737030,M,739.0,A,73.1,4,COUPE,1.474,0,0.0,67
227,74736270,M,649.0,C,142.5,1,UTE,4.004,0,0.0,57
228,28601754,M,480.0,C,102.0,3,UTE,1.606,0,0.0,25
229,42214684,F,779.0,C,118.5,3,SEDAN,1.067,0,0.0,84
230,14507960,M,725.0,A,115.1,1,STNWG,2.981,0,0.0,40
232,78835981,F,716.0,F,128.0,4,STNWG,1.661,0,0.0,67
233,51563995,F,750.0,C,100.5,3,STNWG,1.848,2,123.3749717,44
234,80159026,M,682.0,C,96.0,4,UTE,1.254,0,0.0,34
235,61899994,F,610.0,C,136.5,1,HBACK,1.65,0,0.0,37
236,38821633,F,828.0,A,78.9,3,SEDAN,1.529,0,0.0,70
237,25209229,F,780.0,D,93.5,1,SEDAN,2.4189,0,0.0,87
238,42140098,F,533.0,D,43.2,2,STNWG,4.103,0,0.0,45
239,76561303,F,765.0,C,67.5,4,HBACK,0.374,0,0.0,51
240,68945849,F,637.0,B,117.0,4,STNWG,2.486,0,0.0,50
241,97606914,M,533.0,B,82.8,4,STNWG,1.276,1,136.3160447,37
242,44534803,F,837.0,E,48.0,4,TRUCK,1.507,0,0.0,61
243,14869404,M,642.0,C,88.5,3,STNWG,3.883,0,0.0,48
244,43535935,F,844.0,E,15.0,2,STNWG,4.356,0,0.0,37
245,26248690,F,602.0,B,105.7,1,SEDAN,2.068,0,0.0,60
246,40762814,M,694.0,D,83.2,4,STNWG,0.759,0,0.0,46
247,98530470,F,351.0,F,106.0,2,STNWG,4.389,1,1382.732806,26
248,73143619,F,626.0,E,40.5,2,HBACK,1.793,0,0.0,60
249,30709120,F,686.0,D,67.8,4,MIBUS,1.606,0,0.0,33
250,93926778,F,344.0,D,72.6,3,UTE,2.233,0,0.0,47
251,98137147,F,809.0,A,45.6,2,SEDAN,1.606,0,0.0,58
253,44096959,F,711.0,E,45.0,4,HBACK,1.012,0,0.0,63
254,29704049,M,449.0,F,128.0,3,TRUCK,2.684,0,0.0,58
255,36723594,M,749.0,C,102.0,4,MIBUS,2.057,0,0.0,68
256,89164725,F,328.0,A,74.9,1,HBACK,2.376,0,0.0,59
257,53164714,F,828.0,C,132.0,1,SEDAN,2.442,0,0.0,76
258,37613214,M,722.0,A,89.1,2,SEDAN,2.684,0,0.0,67
259,55321572,M,716.0,B,140.2,4,STNWG,2.013,0,0.0,58
260,93957725,F,632.0,A,98.2,1,HBACK,1.5708,0,0.0,54
261,74319421,M,677.0,B,78.3,4,STNWG,2.101,2,862.9849608,28
263,41670914,M,481.0,B,97.6,3,UTE,1.419,1,3611.32757,79
264,71084537,M,705.0,E,19.5,4,SEDAN,0.396,0,0.0,41
265,54402875,M,725.0,C,136.5,3,STNWG,2.079,0,0.0,65
267,23226500,M,673.0,B,133.9,3,HBACK,0.869,0,0.0,44
268,94253970,M,761.0,A,57.0,3,STNWG,1.188,0,0.0,64
270,44775330,M,752.0,B,148.7,4,SEDAN,0.66,0,0.0,83
271,81908002,F,711.0,D,105.2,4,SEDAN,0.66,1,160.5274659,25
272,31471263,M,826.0,B,122.2,3,SEDAN,2.321,0,0.0,53
273,75846973,F,632.0,A,91.8,4,STNWG,0.902,0,0.0,59
274,90366494,M,801.0,C,136.5,3,SEDAN,1.012,0,0.0,52
275,73933293,M,501.0,C,142.5,3,HBACK,2.024,0,0.0,31
279,99962332,F,832.0,A,53.5,3,HBACK,1.012,0,0.0,47
280,32546221,M,660.0,A,95.5,3,TRUCK,1.133,0,0.0,49
281,67771619,F,539.0,A,90.4,2,SEDAN,2.057,0,0.0,52
282,62487436,F,645.0,C,112.5,3,SEDAN,1.958,0,0.0,47
283,88178384,F,833.0,A,103.5,4,STNWG,1.606,1,129.3148092,69
284,70089380,F,382.0,B,138.1,3,HBACK,1.375,0,0.0,25
285,81679724,F,782.0,E,78.0,1,SEDAN,2.695,0,0.0,69
286,72713070,F,682.0,C,148.5,2,SEDAN,1.936,0,0.0,72
287,30692726,M,849.0,C,144.0,3,STNWG,1.375,0,0.0,80
288,20521298,M,584.0,A,94.9,3,SEDAN,1.617,0,0.0,59
289,53313675,F,825.0,C,135.0,3,SEDAN,1.507,0,0.0,65
290,48586868,F,700.0,D,111.0,2,HBACK,2.024,0,0.0,73
291,11947350,F,382.0,F,104.0,3,STNWG,3.322,0,0.0,39
292,17807520,F,800.0,A,86.0,4,STNWG,0.913,0,0.0,95
293,69767250,M,661.0,D,156.3,1,HBACK,1.353,0,0.0,60
294,17154859,M,800.0,F,102.0,3,HDTOP,2.31,0,0.0,27
295,26908963,F,672.0,B,117.9,4,SEDAN,0.792,0,0.0,39
296,23036703,M,757.0,D,99.0,2,HBACK,1.408,0,0.0,29
297,11799354,F,698.0,B,94.4,4,SEDAN,0.605,1,183.0576617,58
298,16920051,M,651.0,C,144.0,4,UTE,1.001,0,0.0,49
299,32808897,F,553.0,B,131.6,2,HBACK,1.386,0,0.0,43
300,12298217,F,744.0,B,136.3,2,SEDAN,2.2,0,0.0,59
301,71724328,F,333.0,B,117.3,3,HBACK,1.012,1,1883.037788,33
303,75054926,F,813.0,B,137.4,1,HDTOP,5.28,1,16084.38425,69
304,17222240,M,613.0,C,124.5,1,SEDAN,2.024,0,0.0,53
305,25951479,F,759.0,C,121.5,4,SEDAN,1.287,0,0.0,69
306,65375531,M,635.0,A,84.8,3,UTE,1.441,0,0.0,54
307,33731039,M,668.0,D,155.3,3,HBACK,0.858,2,314.6821778,33
308,65862619,M,583.0,B,97.1,3,SEDAN,1.749,0,0.0,31
309,92043874,F,651.0,B,77.4,4,STNWG,0.99,0,0.0,45
310,30111998,F,784.0,C,141.0,3,HBACK,1.43,0,0.0,60
311,79943309,F,380.0,B,139.6,2,HBACK,1.309,2,5680.324623,40
312,33377410,M,776.0,D,102.3,1,HBACK,2.178,0,0.0,69
313,51845994,M,332.0,B,106.7,3,STNWG,2.541,1,1765.619344,34
314,42403538,F,664.0,B,108.0,3,STNWG,3.047,0,0.0,32
315,62292858,F,849.0,C,142.5,3,SEDAN,1.562,0,0.0,34
316,97569756,M,560.0,D,116.7,3,UTE,2.398,3,6123.682537,54
317,17350392,F,814.0,E,54.0,2,SEDAN,1.617,0,0.0,42
318,32309345,M,817.0,D,148.4,3,STNWG,1.672,1,103.3443703,47
319,45546209,M,706.0,A,93.4,4,SEDAN,2.002,0,0.0,51
321,85329293,F,770.0,A,90.2,2,HBACK,1.826,0,0.0,75
322,82232965,F,792.0,C,121.5,2,HBACK,1.474,0,0.0,58
324,50557654,F,820.0,A,94.0,2,SEDAN,2.024,0,0.0,55
325,55935735,M,623.0,B,115.4,4,STNWG,1.276,0,0.0,58
326,25614183,M,600.0,B,104.5,3,SEDAN,1.408,0,0.0,90
327,30260824,F,610.0,C,145.5,4,COUPE,2.2,0,0.0,57
328,34891016,M,464.0,B,125.4,2,HBACK,2.002,2,5740.372922,21
329,65458777,M,728.0,C,130.5,3,UTE,1.166,0,0.0,54
330,87306255,M,792.0,C,111.0,1,TRUCK,5.115,0,0.0,59
331,15122239,M,644.0,A,88.6,4,SEDAN,0.451,0,0.0,56
332,58741718,F,434.0,C,123.0,1,HBACK,1.32,0,0.0,52
333,11663102,F,566.0,B,131.9,4,SEDAN,1.177,0,0.0,58
334,72307145,M,832.0,D,111.2,4,TRUCK,0.88,0,0.0,64
335,80016227,F,498.0,C,141.0,4,SEDAN,0.825,0,0.0,40
336,26758998,F,358.0,C,84.0,2,HBACK,1.474,0,0.0,35
337,66871695,F,643.0,A,70.2,3,SEDAN,1.529,0,0.0,55
338,83801186,F,655.0,B,135.2,3,HBACK,1.089,0,0.0,47
339,53209364,F,684.0,A,103.7,4,HBACK,0.737,0,0.0,34
340,11126735,M,845.0,A,59.6,1,PANVN,2.123,0,0.0,48
342,49223311,F,826.0,A,94.6,2,SEDAN,1.936,0,0.0,76
343,90803755,M,797.0,C,111.0,3,SEDAN,1.793,0,0.0,77
344,15372349,F,404.0,C,141.0,2,HBACK,2.057,1,1598.776994,42
346,76143943,F,744.0,C,136.5,4,HBACK,0.605,0,0.0,82
347,82504490,F,670.0,B,119.3,2,SEDAN,1.881,1,1192.442897,41
348,54995053,M,822.0,B,106.4,1,UTE,3.993,0,0.0,39
349,58967892,M,716.0,B,120.0,4,STNWG,1.309,1,358.4540026,25
350,24232723,F,825.0,E,3.0,3,SEDAN,1.298,0,0.0,72
351,76985594,M,635.0,F,116.0,3,TRUCK,2.233,0,0.0,35
352,95529485,F,758.0,E,36.0,1,STNWG,3.278,0,0.0,49
353,77454801,F,635.0,B,125.2,2,SEDAN,1.804,0,0.0,68
354,72988599,M,686.0,F,132.0,4,STNWG,1.925,0,0.0,34
356,55277387,M,736.0,D,87.3,3,STNWG,3.179,0,0.0,52
357,39929902,F,734.0,D,98.6,2,HBACK,2.046,0,0.0,63
358,97345659,F,609.0,C,133.5,3,SEDAN,1.342,0,0.0,45
359,33133043,M,657.0,E,90.0,3,HBACK,1.177,0,0.0,87
360,51658529,M,623.0,C,114.0,3,STNWG,3.41,2,1235.5471,30
361,46542469,M,404.0,C,130.5,4,UTE,0.66,1,2288.813123,80
362,57833535,M,398.0,B,158.3,1,STNWG,3.608,1,4832.622337,60
363,35917685,M,704.0,C,139.5,1,HBACK,2.761,0,0.0,65
364,56563614,F,718.0,C,145.5,2,HBACK,2.002,0,0.0,54
365,18900600,M,753.0,E,36.0,4,STNWG,1.859,0,0.0,72
366,69463191,F,832.0,C,97.5,3,HBACK,1.012,0,0.0,67
368,60785608,M,846.0,D,63.3,2,SEDAN,1.969,0,0.0,54
369,97271352,M,786.0,A,86.7,2,STNWG,2.838,0,0.0,72
370,50137005,M,412.0,A,74.6,4,STNWG,2.024,1,2176.737839,21
371,43862143,M,722.0,A,105.7,4,HBACK,1.507,0,0.0,38
372,11496757,M,533.0,D,126.4,3,STNWG,2.288,0,0.0,31
373,34697447,F,693.0,F,104.0,1,SEDAN,2.365,0,0.0,50
374,38467964,F,689.0,B,83.5,3,HBACK,1.958,0,0.0,31
375,96498987,M,735.0,E,66.0,3,HBACK,0.869,0,0.0,87
376,83677405,F,632.0,F,130.0,2,STNWG,2.794,0,0.0,38
377,24195168,F,819.0,E,28.5,2,HBACK,2.079,0,0.0,65
378,66132781,M,635.0,D,96.2,3,UTE,1.386,0,0.0,45
379,64828971,M,746.0,D,119.4,3,STNWG,2.805,0,0.0,45
380,67863955,F,737.0,C,115.5,1,HBACK,1.782,0,0.0,69
381,93112032,F,368.0,A,82.3,2,UTE,2.904,0,0.0,26
383,61574887,F,809.0,C,145.5,4,STNWG,0.55,1,416.1801483,42
384,70588156,F,642.0,C,99.0,4,SEDAN,1.76,0,0.0,59
386,90144120,M,800.0,C,120.0,4,STNWG,1.298,0,0.0,82
387,26102719,M,687.0,A,67.7,3,STNWG,3.047,1,192.047918,36
388,25688391,M,530.0,D,95.7,2,UTE,3.63,2,3795.324833,44
389,27158804,M,303.0,E,45.0,3,STNWG,2.145,1,9417.329381,71
390,63663642,M,667.0,C,120.0,1,SEDAN,2.662,1,267.2301367,31
391,96597395,M,846.0,F,108.0,1,SEDAN,2.827,0,0.0,57
392,92089517,F,425.0,F,120.0,4,STNWG,2.607,2,1337.677602,39
393,38960826,F,673.0,A,76.6,1,HBACK,1.804,0,0.0,23
394,88623434,M,836.0,C,136.5,3,HBACK,0.88,0,0.0,73
395,83243559,F,344.0,B,141.4,4,HBACK,0.385,1,2168.421203,57
396,76744016,F,808.0,A,106.7,4,UTE,0.495,0,0.0,46
398,74393642,F,511.0,C,118.5,4,UTE,0.649,0,0.0,45
399,75588245,F,835.0,C,148.5,3,HBACK,1.848,0,0.0,74
400,15650617,M,638.0,C,129.0,3,SEDAN,1.254,0,0.0,56
402,77865495,F,477.0,B,167.0,1,HBACK,1.617,0,0.0,40
403,93600333,F,733.0,C,136.5,1,SEDAN,2.882,0,0.0,31
405,93347468,M,838.0,D,93.9,3,SEDAN,1.628,1,840.5956192,71
406,19902614,M,602.0,E,55.5,3,STNWG,2.53,0,0.0,45
407,52154468,F,436.0,A,72.0,4,SEDAN,0.429,0,0.0,47
