,gender,credit_score,area,traffic_index,veh_age,veh_body,veh_value,numclaims,claimcst0,age_at_eff_dt,Cluster
17313,F,767.0,E,66.0,3,STNWG,3.41,0,0.0,46,Cluster 3
9183,M,775.0,B,132.5,4,PANVN,0.495,0,0.0,51,Cluster 0
59014,F,805.0,D,129.4,2,SEDAN,2.145,0,0.0,76,Cluster 3
41601,M,609.0,B,62.3,4,HBACK,0.418,3,720.6924818,52,Cluster 4
26276,F,669.0,D,61.6,2,STNWG,5.335,0,0.0,59,Cluster 3
34749,M,599.0,A,78.0,1,HBACK,1.507,0,0.0,57,Cluster 3
8565,M,738.0,C,144.0,2,SEDAN,1.914,0,0.0,67,Cluster 3
53437,M,,B,108.3,1,STNWG,5.313,1,8020.956565,29,Cluster 4
52364,M,559.0,D,79.2,4,STNWG,1.969,1,1652.734221,47,Cluster 4
6036,M,346.0,D,114.6,3,UTE,1.573,0,0.0,45,Cluster 0
53017,M,604.0,A,63.7,3,SEDAN,1.298,0,0.0,59,Cluster 0
52238,F,624.0,D,124.1,4,PANVN,0.836,0,0.0,52,Cluster 0
10064,F,795.0,C,,1,HBACK,1.617,0,0.0,61,Cluster 3
11477,F,679.0,C,120.0,4,SEDAN,0.726,0,0.0,59,Cluster 0
39893,F,,B,121.0,3,SEDAN,1.595,1,805.2023542,29,Cluster 4
34151,M,608.0,C,127.5,2,HBACK,1.914,0,0.0,63,Cluster 3
45818,M,617.0,D,140.1,4,UTE,1.826,3,2510.793732,43,Cluster 4
9842,M,517.0,F,120.0,3,STNWG,3.201,1,2329.701012,41,Cluster 4
18087,M,834.0,D,117.3,1,TRUCK,3.2219,0,0.0,58,Cluster 3
24701,M,757.0,C,141.0,3,UTE,1.804,0,0.0,58,Cluster 0
42057,M,538.0,C,147.0,1,STNWG,3.619,1,6577.084849,22,Cluster 4
46355,M,702.0,D,116.9,4,SEDAN,0.649,0,0.0,78,Cluster 0
49209,F,752.0,B,105.9,3,SEDAN,1.254,0,0.0,68,Cluster 0
8478,F,483.0,B,103.0,3,HBACK,0.924,0,0.0,39,Cluster 0
35494,F,513.0,F,170.0,3,STNWG,2.728,0,0.0,38,Cluster 3
40206,F,823.0,D,63.8,1,HBACK,2.068,0,0.0,51,Cluster 3
11483,F,849.0,D,125.9,3,STNWG,1.221,0,0.0,36,Cluster 0
10595,M,404.0,B,97.9,2,UTE,3.971,1,3185.794277,48,Cluster 4
43500,F,775.0,B,102.0,2,HBACK,1.419,0,0.0,37,Cluster 3
49916,M,786.0,B,118.7,2,SEDAN,2.365,0,0.0,88,Cluster 3
23335,F,700.0,B,101.5,2,HBACK,1.958,0,0.0,33,Cluster 3
54774,M,386.0,B,87.6,1,SEDAN,2.937,0,0.0,78,Cluster 3
42888,F,678.0,A,65.2,1,HBACK,1.496,0,0.0,61,Cluster 3
53941,F,,B,143.8,3,HBACK,1.133,0,0.0,32,Cluster 0
35627,F,525.0,D,89.6,2,SEDAN,2.651,0,0.0,79,Cluster 3
4704,F,714.0,F,50.0,3,STNWG,3.927,0,0.0,52,Cluster 3
8797,F,817.0,A,56.7,4,HBACK,0.583,0,0.0,56,Cluster 0
8914,F,807.0,A,84.9,3,HBACK,1.408,0,0.0,71,Cluster 0
803,M,841.0,B,130.2,3,STNWG,1.265,0,0.0,68,Cluster 0
7876,F,533.0,D,87.3,3,STNWG,1.859,0,0.0,60,Cluster 0
29994,F,781.0,C,115.5,1,HBACK,2.6279,0,0.0,64,Cluster 3
10950,F,812.0,D,64.4,1,HDTOP,2.75,0,0.0,49,Cluster 3
14366,M,696.0,A,56.1,4,SEDAN,2.651,0,0.0,54,Cluster 0
17756,F,842.0,C,88.5,3,HBACK,0.957,0,0.0,44,Cluster 0
51677,F,321.0,A,118.8,2,HBACK,1.848,0,0.0,33,Cluster 3
17531,M,666.0,D,111.4,4,STNWG,1.595,0,0.0,51,Cluster 0
6623,F,737.0,D,75.5,1,HBACK,1.936,0,0.0,58,Cluster 3
9059,F,582.0,C,144.0,2,SEDAN,1.826,0,0.0,52,Cluster 3
57417,F,616.0,B,138.1,3,STNWG,1.232,1,366.6621468,46,Cluster 4
47047,M,692.0,D,113.8,4,UTE,1.87,1,217.8743519,21,Cluster 4
12335,F,824.0,F,160.0,4,STNWG,2.145,0,0.0,46,Cluster 0
22227,F,775.0,A,75.4,4,HBACK,0.484,0,0.0,65,Cluster 0
18924,M,754.0,C,139.5,3,SEDAN,1.265,0,0.0,70,Cluster 0
25528,F,695.0,B,112.8,3,COUPE,1.232,0,0.0,45,Cluster 0
16377,F,462.0,A,31.2,2,SEDAN,1.573,1,3276.243237,23,Cluster 4
54764,F,721.0,C,141.0,3,HBACK,2.013,1,374.021217,65,Cluster 4
274,M,801.0,C,136.5,3,SEDAN,1.012,0,0.0,52,Cluster 0
28594,F,573.0,D,110.6,2,HBACK,1.705,0,0.0,59,Cluster 3
52029,F,716.0,A,85.7,4,HBACK,0.583,0,0.0,86,Cluster 0
26603,F,565.0,D,65.1,3,SEDAN,0.891,0,0.0,63,Cluster 0
1731,M,804.0,D,115.5,4,STNWG,1.705,0,0.0,68,Cluster 0
26786,M,830.0,A,110.5,3,SEDAN,1.276,0,0.0,66,Cluster 0
44778,M,780.0,A,64.2,3,STNWG,2.871,1,366.8092667,63,Cluster 4
40966,F,327.0,F,144.0,2,STNWG,4.807,1,2490.580817,40,Cluster 4
56924,M,810.0,A,108.9,4,HDTOP,1.166,0,0.0,34,Cluster 0
37838,F,706.0,B,106.7,4,STNWG,2.398,0,0.0,43,Cluster 0
41043,F,633.0,E,31.5,1,SEDAN,2.057,0,0.0,56,Cluster 3
14938,M,722.0,F,118.0,1,UTE,3.278,0,0.0,46,Cluster 3
30411,F,711.0,A,,3,SEDAN,1.419,0,0.0,60,Cluster 0
9022,M,712.0,A,91.7,3,SEDAN,1.859,0,0.0,67,Cluster 0
36472,M,823.0,A,45.5,2,HBACK,1.529,0,0.0,88,Cluster 3
44599,F,698.0,A,82.8,4,HBACK,0.858,0,0.0,39,Cluster 0
17617,M,663.0,D,101.9,2,STNWG,3.74,1,655.5907114,55,Cluster 4
50850,F,740.0,E,46.5,4,SEDAN,0.451,0,0.0,70,Cluster 0
39118,F,757.0,A,70.0,3,SEDAN,1.21,0,0.0,63,Cluster 0
54654,M,743.0,B,112.0,3,SEDAN,0.869,0,0.0,50,Cluster 0
26891,M,764.0,C,115.5,3,STNWG,3.311,0,0.0,37,Cluster 3
27735,M,564.0,D,120.8,1,STNWG,6.149,1,6459.935872,47,Cluster 4
13941,F,666.0,A,,4,SEDAN,0.583,0,0.0,54,Cluster 0
34634,F,716.0,C,150.0,2,STNWG,3.047,0,0.0,57,Cluster 3
9981,F,620.0,F,102.0,2,HBACK,1.804,0,0.0,42,Cluster 3
46238,M,551.0,C,142.5,4,SEDAN,0.792,0,0.0,69,Cluster 0
6917,F,786.0,C,91.5,4,STNWG,0.495,0,0.0,59,Cluster 0
36646,F,628.0,B,,2,SEDAN,1.914,0,0.0,47,Cluster 3
57741,M,652.0,F,88.0,2,SEDAN,2.464,0,0.0,20,Cluster 3
52235,F,629.0,C,90.0,4,SEDAN,0.66,0,0.0,48,Cluster 0
5394,F,723.0,C,135.0,2,SEDAN,1.947,0,0.0,42,Cluster 3
35587,M,830.0,C,142.5,4,STNWG,0.979,0,0.0,71,Cluster 0
2746,M,421.0,A,120.8,2,STNWG,4.367,0,0.0,54,Cluster 3
2494,F,777.0,A,76.2,1,SEDAN,2.112,0,0.0,61,Cluster 3
52704,F,618.0,B,,3,HBACK,0.88,0,0.0,38,Cluster 0
37406,F,531.0,F,130.0,4,UTE,2.013,0,0.0,39,Cluster 0
1319,F,,D,80.1,3,HBACK,1.188,0,0.0,48,Cluster 0
53498,F,799.0,A,72.4,2,HBACK,1.496,0,0.0,67,Cluster 3
20118,M,777.0,F,122.0,3,HBACK,1.386,0,0.0,88,Cluster 0
42666,M,730.0,D,91.0,3,STNWG,2.662,1,250.8796841,49,Cluster 4
4573,M,592.0,D,95.1,1,SEDAN,2.882,0,0.0,36,Cluster 3
12858,M,504.0,A,38.6,4,HBACK,1.023,0,0.0,44,Cluster 0
27590,F,622.0,C,94.5,2,HBACK,1.507,0,0.0,31,Cluster 3
3030,F,834.0,D,112.8,2,STNWG,5.104,0,0.0,70,Cluster 3
56663,F,838.0,C,129.0,4,HBACK,0.55,0,0.0,61,Cluster 0
20663,M,848.0,D,95.2,2,SEDAN,2.838,0,0.0,63,Cluster 3
19243,F,641.0,C,120.0,4,UTE,1.177,0,0.0,30,Cluster 0
11500,M,734.0,C,144.0,4,SEDAN,0.528,0,0.0,58,Cluster 0
48029,M,807.0,D,129.4,1,STNWG,5.302,1,3123.893738,70,Cluster 4
18299,F,818.0,B,,3,SEDAN,1.518,0,0.0,75,Cluster 0
22879,M,657.0,A,87.4,2,SEDAN,2.002,0,0.0,43,Cluster 3
45171,F,689.0,C,93.0,4,HBACK,0.792,0,0.0,32,Cluster 0
27520,F,821.0,B,101.8,3,SEDAN,1.21,0,0.0,64,Cluster 0
13058,F,707.0,C,139.5,3,HDTOP,1.782,0,0.0,48,Cluster 0
29066,M,,B,,3,SEDAN,1.617,0,0.0,41,Cluster 0
54500,F,784.0,E,12.0,3,SEDAN,1.243,0,0.0,69,Cluster 0
23785,M,656.0,E,70.5,3,STNWG,2.035,0,0.0,48,Cluster 0
14339,M,849.0,C,136.5,2,UTE,3.795,0,0.0,54,Cluster 3
52334,M,498.0,F,90.0,3,STNWG,2.519,0,0.0,42,Cluster 3
15102,M,684.0,C,145.5,1,TRUCK,4.147,0,0.0,60,Cluster 3
16695,F,849.0,C,144.0,2,SEDAN,2.211,0,0.0,82,Cluster 3
56232,F,810.0,B,91.9,2,SEDAN,2.354,0,0.0,63,Cluster 3
16425,F,829.0,B,116.2,2,UTE,2.211,0,0.0,66,Cluster 3
49951,M,761.0,F,72.0,1,STNWG,5.236,0,0.0,64,Cluster 3
43190,M,671.0,F,94.0,1,STNWG,3.619,0,0.0,57,Cluster 3
42851,M,800.0,A,75.3,3,UTE,3.058,0,0.0,55,Cluster 3
47416,M,473.0,F,68.0,2,TRUCK,2.695,1,11144.94197,28,Cluster 2
24330,F,833.0,C,109.5,3,SEDAN,1.507,0,0.0,84,Cluster 0
43586,M,815.0,D,94.3,4,HDTOP,2.706,0,0.0,42,Cluster 0
33310,F,827.0,C,147.0,3,SEDAN,1.551,0,0.0,47,Cluster 0
41219,F,656.0,F,114.0,3,STNWG,3.223,0,0.0,49,Cluster 3
19685,M,610.0,C,145.5,3,HDTOP,2.585,1,1167.096919,53,Cluster 4
48963,M,473.0,D,89.3,1,HBACK,1.507,1,4645.030281,57,Cluster 4
20304,F,321.0,C,127.5,4,SEDAN,0.506,2,1002.102334,53,Cluster 4
59624,F,602.0,C,141.0,4,HBACK,0.418,0,0.0,57,Cluster 0
31729,M,847.0,B,95.5,2,HBACK,1.496,0,0.0,67,Cluster 3
53509,F,668.0,D,111.9,4,TRUCK,0.836,0,0.0,41,Cluster 0
54938,F,833.0,D,150.9,2,PANVN,3.795,0,0.0,65,Cluster 3
58933,F,734.0,E,48.0,4,SEDAN,1.551,0,0.0,60,Cluster 0
53708,M,801.0,C,141.0,3,SEDAN,1.067,0,0.0,72,Cluster 0
8420,F,697.0,E,61.5,1,SEDAN,2.09,0,0.0,29,Cluster 3
51348,F,809.0,D,82.9,4,MIBUS,1.782,0,0.0,52,Cluster 0
11275,M,792.0,A,67.6,2,SEDAN,1.925,0,0.0,39,Cluster 3
29908,M,809.0,C,130.5,2,HBACK,1.947,0,0.0,85,Cluster 3
32671,F,715.0,C,135.0,3,SEDAN,1.43,0,0.0,43,Cluster 0
25615,M,631.0,C,147.0,1,SEDAN,2.3078,0,0.0,47,Cluster 3
39899,F,758.0,C,99.0,1,HBACK,2.387,0,0.0,35,Cluster 3
42889,F,,B,,3,HDTOP,3.729,0,0.0,32,Cluster 3
30176,M,819.0,A,,3,SEDAN,1.309,0,0.0,59,Cluster 0
42384,F,711.0,B,137.0,4,SEDAN,0.902,0,0.0,59,Cluster 0
32714,M,830.0,A,61.4,3,HBACK,0.979,0,0.0,45,Cluster 0
37459,F,680.0,B,120.3,4,SEDAN,0.913,0,0.0,55,Cluster 0
17286,M,732.0,A,98.3,2,STNWG,2.321,0,0.0,47,Cluster 3
29106,F,385.0,B,102.4,3,HDTOP,2.068,1,11180.42659,67,Cluster 2
17049,M,629.0,A,49.9,1,SEDAN,2.739,0,0.0,42,Cluster 3
11081,M,804.0,C,148.5,3,STNWG,2.695,0,0.0,70,Cluster 0
60127,F,692.0,B,104.2,3,HBACK,1.067,0,0.0,47,Cluster 0
14976,F,797.0,E,31.5,3,SEDAN,1.232,0,0.0,66,Cluster 0
5866,M,716.0,B,117.0,3,HDTOP,1.837,0,0.0,63,Cluster 0
55956,M,644.0,B,,1,SEDAN,2.937,0,0.0,45,Cluster 3
26161,F,678.0,C,81.0,3,PANVN,3.146,0,0.0,37,Cluster 3
17419,F,829.0,D,114.8,4,STNWG,1.375,0,0.0,75,Cluster 0
167,F,630.0,D,98.6,4,STNWG,1.958,0,0.0,52,Cluster 0
33863,F,329.0,B,124.7,3,SEDAN,1.628,4,27979.3798,77,Cluster 2
15253,F,,F,122.0,3,STNWG,1.771,0,0.0,37,Cluster 0
27778,M,616.0,C,141.0,3,HBACK,0.781,0,0.0,60,Cluster 0
8993,F,589.0,C,142.5,4,COUPE,0.473,0,0.0,55,Cluster 0
58247,M,841.0,A,92.1,1,SEDAN,2.673,0,0.0,44,Cluster 3
14835,F,842.0,E,48.0,4,HBACK,0.528,0,0.0,76,Cluster 0
176,F,693.0,C,111.0,3,HBACK,0.979,1,234.9816427,67,Cluster 4
45459,M,638.0,B,148.5,3,SEDAN,1.628,0,0.0,45,Cluster 0
39614,M,779.0,F,108.0,3,SEDAN,1.793,0,0.0,67,Cluster 0
44441,F,698.0,A,74.6,2,SEDAN,1.925,0,0.0,26,Cluster 3
29719,F,508.0,C,129.0,3,SEDAN,1.056,0,0.0,56,Cluster 0
10758,M,,B,144.8,1,STNWG,3.5189,1,13488.02981,39,Cluster 2
6926,M,422.0,D,131.9,3,STNWG,2.871,0,0.0,60,Cluster 3
5683,M,822.0,B,134.5,2,HBACK,1.496,0,0.0,66,Cluster 3
38540,F,782.0,A,100.8,3,SEDAN,1.562,0,0.0,55,Cluster 0
20540,M,522.0,E,42.0,2,STNWG,3.971,0,0.0,40,Cluster 3
5687,M,,A,81.5,3,SEDAN,1.947,0,0.0,24,Cluster 0
57728,M,626.0,F,114.0,4,STNWG,1.54,0,0.0,33,Cluster 0
45509,F,811.0,A,51.0,2,STNWG,2.794,0,0.0,59,Cluster 3
46241,F,720.0,D,49.5,2,SEDAN,1.958,0,0.0,55,Cluster 3
3211,F,617.0,E,49.5,2,STNWG,3.476,0,0.0,34,Cluster 3
58186,M,463.0,A,98.8,4,BUS,1.221,0,0.0,75,Cluster 0
41980,M,743.0,B,110.5,1,UTE,4.7839,0,0.0,48,Cluster 3
38186,M,616.0,B,135.4,1,SEDAN,2.222,1,4761.405811,31,Cluster 4
37041,M,708.0,C,129.0,4,PANVN,0.627,0,0.0,47,Cluster 0
23231,F,739.0,C,145.5,3,STNWG,1.815,0,0.0,43,Cluster 0
2578,F,707.0,B,109.7,3,SEDAN,1.199,0,0.0,42,Cluster 0
42452,M,816.0,A,98.3,3,HBACK,2.101,1,389.2281247,51,Cluster 4
45192,M,809.0,C,69.0,4,HBACK,0.451,0,0.0,60,Cluster 0
54038,F,516.0,A,93.7,2,HBACK,2.2,2,2405.573192,24,Cluster 4
51504,F,732.0,E,43.5,4,STNWG,1.672,0,0.0,55,Cluster 0
22273,M,633.0,C,136.5,1,HBACK,1.551,0,0.0,54,Cluster 3
262,F,722.0,B,,4,SEDAN,1.001,0,0.0,53,Cluster 0
40,F,719.0,D,103.3,1,SEDAN,2.629,0,0.0,78,Cluster 3
48635,F,477.0,C,142.5,2,HBACK,2.057,0,0.0,47,Cluster 3
22596,M,777.0,A,58.8,3,SEDAN,1.32,0,0.0,64,Cluster 0
34780,M,607.0,E,70.5,1,STNWG,3.5739,0,0.0,45,Cluster 3
40093,M,622.0,C,148.5,2,SEDAN,2.321,1,614.0323755,24,Cluster 4
49662,F,480.0,B,121.3,2,SEDAN,1.914,0,0.0,75,Cluster 3
37474,F,741.0,C,148.5,1,HBACK,1.683,0,0.0,63,Cluster 3
26298,F,807.0,D,158.1,3,STNWG,2.728,0,0.0,37,Cluster 3
59923,F,,B,,1,STNWG,3.19,1,2538.542567,41,Cluster 4
56901,F,484.0,C,109.5,4,SEDAN,0.319,0,0.0,42,Cluster 0
41224,M,840.0,C,136.5,3,HBACK,0.924,0,0.0,60,Cluster 0
24454,F,689.0,D,110.1,3,SEDAN,1.485,0,0.0,45,Cluster 0
25113,F,636.0,C,130.5,2,HBACK,1.441,0,0.0,55,Cluster 3
21020,F,627.0,A,61.1,3,HBACK,1.111,0,0.0,36,Cluster 0
23719,M,303.0,A,78.9,2,UTE,2.684,1,3237.214004,30,Cluster 4
59378,F,617.0,C,147.0,4,STNWG,2.64,0,0.0,45,Cluster 0
34388,F,,B,144.6,3,UTE,2.497,0,0.0,35,Cluster 0
60104,M,677.0,C,144.0,1,SEDAN,2.013,0,0.0,61,Cluster 3
1791,F,830.0,B,96.6,4,STNWG,2.002,0,0.0,43,Cluster 0
40052,F,771.0,A,99.9,4,STNWG,1.771,0,0.0,48,Cluster 0
21453,F,670.0,B,145.9,3,SEDAN,2.321,0,0.0,77,Cluster 0
43458,F,780.0,E,52.5,2,STNWG,2.585,0,0.0,63,Cluster 3
36571,F,673.0,A,86.9,2,STNWG,6.457,0,0.0,39,Cluster 3
10563,F,651.0,D,153.5,2,SEDAN,1.628,0,0.0,31,Cluster 3
6648,F,624.0,C,145.5,3,HDTOP,3.058,0,0.0,46,Cluster 3
12702,M,812.0,B,86.2,3,SEDAN,1.287,0,0.0,83,Cluster 0
55904,F,839.0,A,111.8,4,STNWG,0.473,0,0.0,40,Cluster 0
21110,F,663.0,B,124.3,4,SEDAN,0.385,1,245.8004745,40,Cluster 4
36448,M,770.0,E,,1,STNWG,3.267,0,0.0,66,Cluster 3
36878,M,666.0,C,142.5,3,HBACK,2.057,0,0.0,41,Cluster 0
22138,M,608.0,B,,3,UTE,2.783,1,1271.718082,48,Cluster 4
40490,M,762.0,C,139.5,1,SEDAN,2.211,0,0.0,62,Cluster 3
9281,F,736.0,C,141.0,4,HBACK,0.902,0,0.0,35,Cluster 0
46181,F,818.0,C,117.0,4,COUPE,1.661,1,129.6261027,48,Cluster 4
44191,F,821.0,C,139.5,4,SEDAN,0.825,0,0.0,69,Cluster 0
43948,F,,C,130.5,4,HBACK,1.034,0,0.0,34,Cluster 0
9301,F,387.0,B,,2,HBACK,1.804,0,0.0,32,Cluster 3
2742,F,794.0,C,142.5,4,HBACK,0.561,0,0.0,44,Cluster 0
38020,F,535.0,C,124.5,3,STNWG,2.618,0,0.0,39,Cluster 3
55829,M,639.0,C,,2,HBACK,1.914,0,0.0,64,Cluster 3
60049,F,,C,132.0,1,SEDAN,1.738,0,0.0,34,Cluster 3
14019,F,839.0,D,123.6,2,UTE,3.707,0,0.0,88,Cluster 3
35264,F,761.0,E,109.5,3,SEDAN,1.188,0,0.0,64,Cluster 0
13728,M,312.0,B,114.2,4,STNWG,1.76,1,1018.625483,37,Cluster 4
21165,M,626.0,A,67.1,4,HBACK,0.66,0,0.0,30,Cluster 0
7,M,681.0,B,154.3,4,UTE,0.836,0,0.0,62,Cluster 0
8703,M,779.0,A,49.6,2,STNWG,4.466,0,0.0,27,Cluster 3
60067,M,651.0,A,89.9,4,HBACK,0.913,1,154.5404232,46,Cluster 4
7475,M,696.0,A,94.2,4,STNWG,1.595,0,0.0,49,Cluster 0
10034,M,666.0,D,99.3,4,STNWG,1.991,0,0.0,49,Cluster 0
21374,M,598.0,A,112.0,4,STNWG,1.969,1,300.3169679,29,Cluster 4
29840,M,776.0,B,,2,HDTOP,4.851,0,0.0,46,Cluster 3
46000,M,721.0,B,142.1,3,SEDAN,2.002,0,0.0,57,Cluster 0
34331,F,610.0,C,150.0,2,SEDAN,1.914,0,0.0,53,Cluster 3
34590,M,750.0,E,55.5,4,SEDAN,0.726,0,0.0,46,Cluster 0
32558,M,610.0,A,80.2,1,HBACK,3.443,0,0.0,41,Cluster 3
17631,F,683.0,D,108.7,1,HBACK,1.65,0,0.0,21,Cluster 3
27591,M,556.0,C,138.0,3,STNWG,2.695,1,1028.632268,26,Cluster 4
25506,M,700.0,E,103.5,2,TRUCK,2.64,0,0.0,25,Cluster 3
47465,F,799.0,D,103.7,4,STNWG,1.991,1,114.9825997,33,Cluster 4
55240,M,767.0,E,37.5,4,SEDAN,0.99,0,0.0,69,Cluster 0
48427,M,695.0,B,106.2,4,STNWG,0.902,0,0.0,55,Cluster 0
42635,F,622.0,A,50.2,1,STNWG,6.578,0,0.0,42,Cluster 3
38564,F,645.0,A,103.6,1,HBACK,1.364,0,0.0,58,Cluster 3
42170,F,562.0,C,141.0,3,STNWG,2.079,0,0.0,40,Cluster 0
13252,M,828.0,B,139.5,3,UTE,2.354,0,0.0,61,Cluster 0
5770,M,635.0,B,,3,HBACK,1.419,0,0.0,35,Cluster 0
28722,M,775.0,D,35.8,2,SEDAN,1.881,0,0.0,87,Cluster 3
58719,F,850.0,D,111.2,1,HBACK,2.376,0,0.0,81,Cluster 3
41852,M,520.0,C,139.5,4,UTE,1.023,0,0.0,50,Cluster 0
17455,F,818.0,A,86.3,3,SEDAN,1.694,0,0.0,59,Cluster 0
42636,F,713.0,C,,4,SEDAN,0.682,0,0.0,45,Cluster 0
23568,M,654.0,C,114.0,4,SEDAN,0.451,0,0.0,39,Cluster 0
35731,F,578.0,C,112.5,2,HBACK,1.936,0,0.0,59,Cluster 3
16577,F,741.0,A,91.3,1,HBACK,1.353,0,0.0,53,Cluster 3
56568,M,821.0,C,121.5,4,HBACK,0.847,0,0.0,37,Cluster 0
17133,F,684.0,C,130.5,4,STNWG,1.727,1,402.4243043,58,Cluster 4
52177,M,392.0,B,132.3,2,HBACK,1.529,0,0.0,45,Cluster 3
9025,M,848.0,A,51.2,3,SEDAN,1.639,0,0.0,86,Cluster 0
9758,M,395.0,A,81.4,1,UTE,3.773,2,13070.54018,59,Cluster 2
16247,M,687.0,D,71.3,4,STNWG,1.419,1,559.2729737,23,Cluster 4
15363,F,821.0,C,96.0,2,HBACK,1.881,0,0.0,67,Cluster 3
19485,F,803.0,B,102.6,1,HBACK,2.145,0,0.0,52,Cluster 3
21489,F,358.0,B,118.0,2,SEDAN,2.068,0,0.0,38,Cluster 3
52686,M,841.0,C,133.5,2,SEDAN,2.409,2,1179.393906,64,Cluster 4
30656,M,622.0,B,128.4,4,COUPE,0.968,2,1664.911528,53,Cluster 4
31078,F,621.0,E,39.0,1,STNWG,3.212,0,0.0,31,Cluster 3
38081,F,625.0,B,122.1,3,HBACK,0.957,0,0.0,26,Cluster 0
54060,F,596.0,C,130.5,4,HBACK,0.594,0,0.0,50,Cluster 0
46527,M,305.0,A,102.7,4,SEDAN,0.737,1,2459.174418,74,Cluster 4
28954,F,559.0,C,148.5,2,HBACK,1.122,0,0.0,29,Cluster 3
53265,M,625.0,B,137.4,1,SEDAN,3.52,0,0.0,38,Cluster 3
27417,M,730.0,C,150.0,4,SEDAN,2.2,0,0.0,65,Cluster 0
16469,M,840.0,C,145.5,2,SEDAN,2.211,0,0.0,79,Cluster 3
7683,F,646.0,C,127.5,4,STNWG,1.133,0,0.0,32,Cluster 0
3279,F,,B,112.6,1,STNWG,5.7596,0,0.0,47,Cluster 3
56021,M,818.0,A,74.8,2,HBACK,1.386,0,0.0,45,Cluster 3
11495,M,515.0,D,127.2,4,UTE,1.177,3,3620.073815,41,Cluster 4
40298,F,748.0,C,117.0,1,HBACK,1.441,0,0.0,48,Cluster 3
16072,F,796.0,C,123.0,1,HBACK,1.903,0,0.0,61,Cluster 3
2946,F,830.0,C,150.0,4,HBACK,0.462,0,0.0,72,Cluster 0
53972,M,656.0,A,61.0,4,STNWG,0.55,0,0.0,45,Cluster 0
19719,F,576.0,A,99.8,2,HBACK,1.804,0,0.0,32,Cluster 3
18726,F,726.0,C,145.5,3,MIBUS,2.563,0,0.0,61,Cluster 0
47777,F,600.0,E,43.5,1,STNWG,3.872,0,0.0,43,Cluster 3
29879,F,841.0,A,81.5,3,SEDAN,1.1,0,0.0,63,Cluster 0
37683,M,588.0,A,85.0,4,STNWG,2.09,1,982.2427625,37,Cluster 4
57678,F,767.0,A,109.5,2,SEDAN,2.398,0,0.0,69,Cluster 3
37608,M,618.0,B,159.3,2,UTE,3.762,2,1319.735976,23,Cluster 4
59210,F,422.0,B,115.1,3,STNWG,1.848,1,2103.009923,24,Cluster 4
1124,F,681.0,A,112.0,1,SEDAN,2.882,0,0.0,68,Cluster 3
55178,M,577.0,C,111.0,1,HBACK,1.77573,0,0.0,34,Cluster 3
19221,M,376.0,E,90.0,4,HDTOP,1.705,0,0.0,39,Cluster 0
10665,F,601.0,E,24.0,3,SEDAN,1.221,0,0.0,34,Cluster 0
36800,F,623.0,C,124.5,3,STNWG,2.728,0,0.0,53,Cluster 3
23943,M,506.0,E,69.0,4,HBACK,1.1,0,0.0,47,Cluster 0
48226,F,833.0,B,109.9,1,HBACK,1.43,0,0.0,69,Cluster 3
50503,F,694.0,F,118.0,2,HDTOP,4.246,0,0.0,48,Cluster 3
